Time,Temperature,Humidity,Pressure
0.000000000000000000e+00,2.249671415301123290e+01,5.831440634333706186e+01,1.009761768766675004e+03
1.000000000000000000e+00,2.186173569882881651e+01,6.086736928742662656e+01,1.009879299847364905e+03
2.000000000000000000e+00,2.264768853810069160e+01,5.590510779351853188e+01,1.011393134822142770e+03
3.000000000000000000e+00,2.352302985640802646e+01,4.851584026022077012e+01,1.012457686586053569e+03
4.000000000000000000e+00,2.176584662527666580e+01,5.699843975876321167e+01,1.009252495157274780e+03
5.000000000000000000e+00,2.176586304305082109e+01,5.174321553104085325e+01,1.011500269823848384e+03
6.000000000000000000e+00,2.357921281550738968e+01,5.235691659125121333e+01,1.011473752143482557e+03
7.000000000000000000e+00,2.276743472915291022e+01,5.793182009377546393e+01,1.013388337778208438e+03
8.000000000000000000e+00,2.153052561406504850e+01,6.119141535716818225e+01,1.011614978188287182e+03
9.000000000000000000e+00,2.254256004358596499e+01,5.510635788368031029e+01,1.012382988984740905e+03
1.000000000000000000e+01,2.153658230718753686e+01,5.654416506299482137e+01,1.012141257140087419e+03
1.100000000000000000e+01,2.153427024642974175e+01,6.351107472317619340e+01,1.009869433520192842e+03
1.200000000000000000e+01,2.224196227156603456e+01,5.620376589744284246e+01,1.012768207216631708e+03
1.300000000000000000e+01,2.008671975534220167e+01,6.800841557090197398e+01,1.012215396505456283e+03
1.400000000000000000e+01,2.027508216748696768e+01,5.782754822815772400e+01,1.012508268639674611e+03
1.500000000000000000e+01,2.143771247075902764e+01,4.619618620422090771e+01,1.015926237706436382e+03
1.600000000000000000e+01,2.098716887966557465e+01,5.876670810552266033e+01,1.009915887060501404e+03
1.700000000000000000e+01,2.231424733259527216e+01,5.690579192441389011e+01,1.013724696649761086e+03
1.800000000000000000e+01,2.109197592447878833e+01,6.144876377041372706e+01,1.011712552480599697e+03
1.900000000000000000e+01,2.058769629866471007e+01,5.836590675634979419e+01,1.012287328904403012e+03
2.000000000000000000e+01,2.346564876892155382e+01,5.430772008008113261e+01,1.011954487754698789e+03
2.100000000000000000e+01,2.177422369951346326e+01,4.887850881855317198e+01,1.011575763666601915e+03
2.200000000000000000e+01,2.206752820468792464e+01,5.395488371356987045e+01,1.011430167071761275e+03
2.300000000000000000e+01,2.057525181378654366e+01,5.074739772895350143e+01,1.012329508735572972e+03
2.400000000000000000e+01,2.145561727547481823e+01,5.209738275097638649e+01,1.010482826303328352e+03
2.500000000000000000e+01,2.211092258970986535e+01,5.794289202210304524e+01,1.012750579167521778e+03
2.600000000000000000e+01,2.084900642257769832e+01,6.334952252175703080e+01,1.011583805595114768e+03
2.700000000000000000e+01,2.237569801834567329e+01,5.697335764911490230e+01,1.010869930660959653e+03
2.800000000000000000e+01,2.139936131008119347e+01,4.902058468982407646e+01,1.011549987142004170e+03
2.900000000000000000e+01,2.170830625020672500e+01,5.722301334110070314e+01,1.013257149216862558e+03
3.000000000000000000e+01,2.139829338777060386e+01,6.098315743322825710e+01,1.011464664912983721e+03
3.100000000000000000e+01,2.385227818450893622e+01,5.195108547840308688e+01,1.012358453618209637e+03
3.200000000000000000e+01,2.198650277526206764e+01,5.432991416663541173e+01,1.011269043724284529e+03
3.300000000000000000e+01,2.094228907104410098e+01,5.507344097364598667e+01,1.012757921849923605e+03
3.400000000000000000e+01,2.282254491210319003e+01,5.107550843458879797e+01,1.012685507738790193e+03
3.500000000000000000e+01,2.077915635002897687e+01,5.824140216921929891e+01,1.013848608833296453e+03
3.600000000000000000e+01,2.220886359500475393e+01,5.439525925696108999e+01,1.011824436054500779e+03
3.700000000000000000e+01,2.004032987612022509e+01,5.709766221953513821e+01,1.012668654804757921e+03
3.800000000000000000e+01,2.067181395110156927e+01,5.056253911098949771e+01,1.012098067539538988e+03
3.900000000000000000e+01,2.219686123586912174e+01,5.281270849838294623e+01,1.013295871781863070e+03
4.000000000000000000e+01,2.273846657999541065e+01,5.861190678913885677e+01,1.011281167612391300e+03
4.100000000000000000e+01,2.217136828118997016e+01,5.313583423954116824e+01,1.012745005312877311e+03
4.200000000000000000e+01,2.188435171761176079e+01,6.363481925616702739e+01,1.011805302703883285e+03
4.300000000000000000e+01,2.169889630441070949e+01,5.300181907192698816e+01,1.011935811822891537e+03
4.400000000000000000e+01,2.052147800963257396e+01,5.612342362875943280e+01,1.012091752484448421e+03
4.500000000000000000e+01,2.128015579160529214e+01,5.966295415936544799e+01,1.012252240396426714e+03
4.600000000000000000e+01,2.153936122904021389e+01,4.790817133533484196e+01,1.011883770956878038e+03
4.700000000000000000e+01,2.305712222621891527e+01,4.619595594009611972e+01,1.012214713183170488e+03
4.800000000000000000e+01,2.234361828956846097e+01,4.737171842714952419e+01,1.013578118057562165e+03
4.900000000000000000e+01,2.023695984463726560e+01,6.131292051713590752e+01,1.012985449685615208e+03
5.000000000000000000e+01,2.232408396939479545e+01,5.224070927053776359e+01,1.012869154592496898e+03
5.100000000000000000e+01,2.161491771958368346e+01,6.779099642834125916e+01,1.011544460473976073e+03
5.200000000000000000e+01,2.132307799969404272e+01,5.217876200671305753e+01,1.011110759171771633e+03
5.300000000000000000e+01,2.261167628884086866e+01,5.592275651598518493e+01,1.012955300558237809e+03
5.400000000000000000e+01,2.303099952249595006e+01,6.271054976283937776e+01,1.012876046792529792e+03
5.500000000000000000e+01,2.293128011911619879e+01,6.503046444079561184e+01,1.013472670675751033e+03
5.600000000000000000e+01,2.116078247677736002e+01,6.530751788318198692e+01,1.011396019374030743e+03
5.700000000000000000e+01,2.169078762414878625e+01,6.104183115296571316e+01,1.011770451344639696e+03
5.800000000000000000e+01,2.233126343140356340e+01,6.012031262905730955e+01,1.010360515837474622e+03
5.900000000000000000e+01,2.297554512712235919e+01,5.796263474600591792e+01,1.011607528893939161e+03
6.000000000000000000e+01,2.152082576215471121e+01,5.889180538083319050e+01,1.012996570510579431e+03
6.100000000000000000e+01,2.181434102333618341e+01,5.224407141835733626e+01,1.011533504620771851e+03
6.200000000000000000e+01,2.089366502599397180e+01,5.090900558288846156e+01,1.012640479795200804e+03
6.300000000000000000e+01,2.080379337591933009e+01,5.498312771294524026e+01,1.011809496894002223e+03
6.400000000000000000e+01,2.281252582239419979e+01,5.414907688737535807e+01,1.012324057028221546e+03
6.500000000000000000e+01,2.335624002857082360e+01,5.273385975336362463e+01,1.010852308610184309e+03
6.600000000000000000e+01,2.192798987841966607e+01,5.848193723728357440e+01,1.012085209449633908e+03
6.700000000000000000e+01,2.300353289789202549e+01,5.977652604285255222e+01,1.009008864029099300e+03
6.800000000000000000e+01,2.236163602504763404e+01,5.544203443145923416e+01,1.011813103841838029e+03
6.900000000000000000e+01,2.135488024539487739e+01,6.238765040527631101e+01,1.010369526756284813e+03
7.000000000000000000e+01,2.236139560550841310e+01,4.929155442933247855e+01,1.013205994516546866e+03
7.100000000000000000e+01,2.353803656646596920e+01,5.403170270360141103e+01,1.012777407352764499e+03
7.200000000000000000e+01,2.196417396089004725e+01,5.141588839698597724e+01,1.012466670981966104e+03
7.300000000000000000e+01,2.356464365581400600e+01,4.566731691463469645e+01,1.013521006227159432e+03
7.400000000000000000e+01,1.938025489591025519e+01,5.458659657078650440e+01,1.011051083479175190e+03
7.500000000000000000e+01,2.282190250437522394e+01,5.439126245808358107e+01,1.013747363197915547e+03
7.600000000000000000e+01,2.208704706823817077e+01,6.256724871621065631e+01,1.012932191564260393e+03
7.700000000000000000e+01,2.170099264953413254e+01,5.815405842277388615e+01,1.011763444712781052e+03
7.800000000000000000e+01,2.209176077653550152e+01,4.987906587835397687e+01,1.013135620147182976e+03
7.900000000000000000e+01,2.001243108539910764e+01,6.427046283167094032e+01,1.010893706487588361e+03
8.000000000000000000e+01,2.178032811216248632e+01,6.110516847762676207e+01,1.011175485838472355e+03
8.100000000000000000e+01,2.235711257151174536e+01,5.791048851734307590e+01,1.011391410276760325e+03
8.200000000000000000e+01,2.347789404474151453e+01,5.386757950575083953e+01,1.011471022291936038e+03
